age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,es_cliente_nuevo,tiene_doble_prestamo,duration_min,fecha_procesamiento
41,1,2,0,0,1618,1,0,2,14,8,396,1,-1,0,3,1,1,0,6.6,2026-05-19 20:30:15
39,4,0,2,0,517,1,1,2,14,8,266,1,-1,0,3,1,1,1,4.433333333333334,2026-05-19 20:30:15
59,5,1,1,0,1521,1,1,2,14,8,119,2,-1,0,3,1,1,1,1.9833333333333334,2026-05-19 20:30:15
41,1,1,1,0,2823,1,0,2,14,8,1282,1,-1,0,3,1,1,0,21.366666666666667,2026-05-19 20:30:15
48,1,1,1,0,1405,1,0,2,14,8,1032,2,-1,0,3,1,1,0,17.2,2026-05-19 20:30:15
40,0,1,1,0,1535,1,0,2,14,8,1116,1,-1,0,3,1,1,0,18.6,2026-05-19 20:30:15
48,1,1,1,0,1596,1,0,2,14,8,1177,1,-1,0,3,1,1,0,19.616666666666667,2026-05-19 20:30:15
60,5,1,0,0,1542,1,0,2,14,8,1360,1,-1,0,3,1,1,0,22.666666666666668,2026-05-19 20:30:15
40,9,2,3,0,3652,1,0,2,14,8,28,2,-1,0,3,1,1,0,0.4666666666666667,2026-05-19 20:30:15
57,9,1,2,0,-1,0,0,2,14,8,1274,2,-1,0,3,1,1,0,21.233333333333334,2026-05-19 20:30:15
51,1,1,1,0,7180,1,0,2,14,8,1357,1,-1,0,3,1,1,0,22.616666666666667,2026-05-19 20:30:15
41,1,0,1,0,5291,1,0,2,14,8,328,3,-1,0,3,1,1,0,5.466666666666667,2026-05-19 20:30:15
41,1,1,1,0,1384,1,0,2,15,8,151,4,-1,0,3,1,1,0,2.5166666666666666,2026-05-19 20:30:15
52,1,0,0,0,-191,1,0,2,15,8,1171,1,-1,0,3,1,1,0,19.516666666666666,2026-05-19 20:30:15
59,1,1,0,0,320,1,0,2,15,8,1105,1,-1,0,3,1,1,0,18.416666666666668,2026-05-19 20:30:15
44,1,1,3,0,146,1,0,2,15,8,870,1,-1,0,3,1,1,0,14.5,2026-05-19 20:30:15
49,11,1,0,0,341,1,1,2,15,8,912,2,-1,0,3,1,1,1,15.2,2026-05-19 20:30:15
40,7,1,0,0,-9,1,0,2,15,8,1350,2,-1,0,3,1,1,0,22.5,2026-05-19 20:30:15
41,0,1,0,0,-306,1,0,2,15,8,890,1,-1,0,3,1,1,0,14.833333333333334,2026-05-19 20:30:15
44,9,1,2,0,4580,1,0,2,15,8,1340,2,-1,0,3,1,1,0,22.333333333333332,2026-05-19 20:30:15
60,7,2,0,0,313,1,0,2,15,8,1350,2,-1,0,3,1,1,0,22.5,2026-05-19 20:30:15
29,4,1,2,0,10576,0,0,2,15,8,199,2,-1,0,3,1,1,0,3.316666666666667,2026-05-19 20:30:15
41,5,0,0,0,-233,1,0,2,15,8,146,2,-1,0,3,1,1,0,2.433333333333333,2026-05-19 20:30:15
41,1,1,0,0,2453,1,0,2,15,8,52,1,-1,0,3,1,1,0,0.8666666666666667,2026-05-19 20:30:15
42,9,2,1,0,1364,1,0,2,15,8,494,6,-1,0,3,1,1,0,8.233333333333333,2026-05-19 20:30:15
36,7,2,3,0,281,1,0,2,16,8,906,1,-1,0,3,1,1,0,15.1,2026-05-19 20:30:15
39,9,1,2,0,94,1,1,2,16,8,1234,1,-1,0,3,1,1,1,20.566666666666666,2026-05-19 20:30:15
31,6,2,2,0,144,1,0,2,16,8,1084,1,-1,0,3,1,1,0,18.066666666666666,2026-05-19 20:30:15
26,1,1,1,0,246,1,0,2,16,8,136,3,-1,0,3,1,1,0,2.2666666666666666,2026-05-19 20:30:15
31,1,1,1,0,92,1,0,2,16,8,1097,1,-1,0,3,1,1,0,18.283333333333335,2026-05-19 20:30:15
29,0,2,1,0,163,1,1,2,16,8,1224,1,-1,0,3,1,1,1,20.4,2026-05-19 20:30:15
37,7,0,1,0,49,1,0,2,16,8,1021,2,-1,0,3,1,1,0,17.016666666666666,2026-05-19 20:30:15
33,1,2,1,0,-416,1,0,2,16,8,1184,2,-1,0,3,1,1,0,19.733333333333334,2026-05-19 20:30:15
24,9,2,1,0,409,1,0,2,16,8,1341,1,-1,0,3,1,1,0,22.35,2026-05-19 20:30:15
50,0,0,1,0,363,1,0,2,16,8,275,1,-1,0,3,1,1,0,4.583333333333333,2026-05-19 20:30:15
27,9,2,2,0,3706,1,0,2,16,8,1324,1,-1,0,3,1,1,0,22.066666666666666,2026-05-19 20:30:15
54,4,2,2,0,4393,1,0,2,16,8,247,3,-1,0,3,1,1,0,4.116666666666666,2026-05-19 20:30:15
30,9,2,1,0,863,1,0,2,16,8,174,5,-1,0,3,1,1,0,2.9,2026-05-19 20:30:15
34,1,1,0,0,695,1,1,2,16,8,64,4,-1,0,3,1,1,1,1.0666666666666667,2026-05-19 20:30:15
37,4,2,1,0,792,1,0,2,16,8,170,4,-1,0,3,1,1,0,2.8333333333333335,2026-05-19 20:30:15
41,0,2,1,0,1020,1,0,2,19,8,1309,1,-1,0,3,1,1,0,21.816666666666666,2026-05-19 20:30:15
47,1,1,1,0,863,1,0,2,19,8,1372,2,-1,0,3,1,1,0,22.866666666666667,2026-05-19 20:30:15
31,0,1,1,0,97,1,0,2,19,8,1008,1,-1,0,3,1,1,0,16.8,2026-05-19 20:30:15
31,1,1,1,0,754,1,0,2,19,8,23,4,-1,0,3,1,1,0,0.38333333333333336,2026-05-19 20:30:15
43,7,0,1,0,1040,1,0,2,19,8,947,3,-1,0,3,1,1,0,15.783333333333333,2026-05-19 20:30:15
37,4,0,2,0,122,1,0,2,19,8,427,2,-1,0,3,1,1,0,7.116666666666666,2026-05-19 20:30:15
30,9,2,2,0,880,1,1,2,19,8,1395,6,-1,0,3,1,1,1,23.25,2026-05-19 20:30:15
41,9,1,1,0,501,1,0,2,19,8,976,5,-1,0,3,1,1,0,16.266666666666666,2026-05-19 20:30:15
36,1,1,1,0,4438,1,0,2,20,8,829,1,-1,0,3,1,1,0,13.816666666666666,2026-05-19 20:30:15
35,1,0,1,0,0,1,0,2,20,8,185,1,-1,0,3,1,1,0,3.0833333333333335,2026-05-19 20:30:15
29,7,2,1,0,271,1,0,2,20,8,499,2,-1,0,3,1,1,0,8.316666666666666,2026-05-19 20:30:15
35,1,1,0,0,102,1,0,2,20,8,272,1,-1,0,3,1,1,0,4.533333333333333,2026-05-19 20:30:15
31,1,1,1,0,2,1,0,2,20,8,484,2,-1,0,3,1,1,0,8.066666666666666,2026-05-19 20:30:15
35,7,1,1,0,4170,1,0,2,20,8,472,1,-1,0,3,1,1,0,7.866666666666666,2026-05-19 20:30:15
34,9,2,1,0,85,1,0,2,20,8,166,4,-1,0,3,1,1,0,2.7666666666666666,2026-05-19 20:30:15
31,0,2,1,0,431,1,1,2,20,8,46,1,-1,0,3,1,1,1,0.7666666666666667,2026-05-19 20:30:15
44,9,0,1,0,982,1,0,2,20,8,1056,3,-1,0,3,1,1,0,17.6,2026-05-19 20:30:15
36,1,1,0,0,408,1,1,2,20,8,63,2,-1,0,3,1,1,1,1.05,2026-05-19 20:30:15
35,1,1,3,0,4822,1,0,2,20,8,1266,2,-1,0,3,1,1,0,21.1,2026-05-19 20:30:15
41,1,1,0,0,1250,1,0,2,20,8,309,2,-1,0,3,1,1,0,5.15,2026-05-19 20:30:15
31,1,2,0,0,216,1,0,2,21,8,961,1,-1,0,3,1,1,0,16.016666666666666,2026-05-19 20:30:15
34,1,1,1,0,1207,1,0,2,21,8,1334,1,-1,0,3,1,1,0,22.233333333333334,2026-05-19 20:30:15
32,9,1,1,0,791,1,0,2,21,8,1201,2,-1,0,3,1,1,0,20.016666666666666,2026-05-19 20:30:15
36,4,1,2,0,849,1,1,2,21,8,1387,2,-1,0,3,1,1,1,23.116666666666667,2026-05-19 20:30:15
30,1,2,1,1,239,1,0,2,21,8,792,1,-1,0,3,1,1,0,13.2,2026-05-19 20:30:15
37,9,2,1,0,1211,1,0,2,21,8,1214,1,-1,0,3,1,1,0,20.233333333333334,2026-05-19 20:30:15
36,1,1,0,0,599,1,0,2,21,8,1054,2,-1,0,3,1,1,0,17.566666666666666,2026-05-19 20:30:15
31,4,2,2,0,825,1,0,2,21,8,896,2,-1,0,3,1,1,0,14.933333333333334,2026-05-19 20:30:15
27,9,1,1,0,2183,1,1,2,21,8,1281,1,-1,0,3,1,1,1,21.35,2026-05-19 20:30:15
34,5,1,0,0,4499,0,0,2,21,8,446,1,-1,0,3,1,1,0,7.433333333333334,2026-05-19 20:30:15
30,9,2,2,0,1289,1,0,2,21,8,451,2,-1,0,3,1,1,0,7.516666666666667,2026-05-19 20:30:15
32,9,2,2,0,4665,1,0,2,21,8,1285,2,-1,0,3,1,1,0,21.416666666666668,2026-05-19 20:30:15
37,9,2,1,0,3326,1,0,2,21,8,1218,1,-1,0,3,1,1,0,20.3,2026-05-19 20:30:15
32,1,1,1,0,783,1,0,2,21,8,1353,3,-1,0,3,1,1,0,22.55,2026-05-19 20:30:15
33,1,1,1,0,0,1,0,2,21,8,913,3,-1,0,3,1,1,0,15.216666666666667,2026-05-19 20:30:15
35,1,1,0,0,994,1,0,2,23,8,284,8,-1,0,3,1,1,0,4.733333333333333,2026-05-19 20:30:15
35,6,0,2,0,1354,1,0,2,23,8,1151,2,-1,0,3,1,1,0,19.183333333333334,2026-05-19 20:30:15
30,1,2,1,0,239,1,0,2,23,8,1203,1,-1,0,3,1,1,0,20.05,2026-05-19 20:30:15
45,1,0,0,0,-311,1,0,2,23,8,31,1,-1,0,3,1,1,0,0.5166666666666667,2026-05-19 20:30:15
45,0,1,1,0,149,1,0,2,23,8,1320,3,-1,0,3,1,1,0,22.0,2026-05-19 20:30:15
33,1,1,1,0,1464,1,0,2,23,8,986,3,-1,0,3,1,1,0,16.433333333333334,2026-05-19 20:30:15
44,4,0,2,0,5773,0,0,2,23,8,996,6,-1,0,3,1,1,0,16.6,2026-05-19 20:30:15
40,1,1,0,0,278,1,0,2,23,8,17,3,-1,0,3,1,1,0,0.2833333333333333,2026-05-19 20:30:15
31,1,1,1,0,2910,1,0,2,23,8,309,2,-1,0,3,1,1,0,5.15,2026-05-19 20:30:15
30,9,1,2,0,541,1,0,2,26,8,794,2,-1,0,3,1,1,0,13.233333333333333,2026-05-19 20:30:15
44,9,0,1,0,1262,1,0,2,26,8,1206,11,-1,0,3,1,1,0,20.1,2026-05-19 20:30:15
34,7,1,1,0,-538,1,0,2,26,8,1091,1,-1,0,3,1,1,0,18.183333333333334,2026-05-19 20:30:15
37,1,1,1,0,125,0,0,2,26,8,1087,2,-1,0,3,1,1,0,18.116666666666667,2026-05-19 20:30:15
28,6,2,2,0,0,1,0,2,26,8,402,2,-1,0,3,1,1,0,6.7,2026-05-19 20:30:15
32,0,2,1,0,620,1,0,2,26,8,207,3,-1,0,3,1,1,0,3.45,2026-05-19 20:30:15
37,1,0,1,0,316,1,0,2,26,8,1047,2,-1,0,3,1,1,0,17.45,2026-05-19 20:30:15
34,4,1,2,0,2287,1,0,2,26,8,1322,4,-1,0,3,1,1,0,22.033333333333335,2026-05-19 20:30:15
38,0,0,1,0,198,1,0,2,26,8,813,2,-1,0,3,1,1,0,13.55,2026-05-19 20:30:15
28,0,2,1,0,460,1,0,2,26,8,1157,6,-1,0,3,1,1,0,19.283333333333335,2026-05-19 20:30:15
31,4,0,2,0,1145,1,0,2,26,8,234,4,-1,0,3,1,1,0,3.9,2026-05-19 20:30:15
59,7,1,1,0,-22,1,0,2,26,8,1164,3,-1,0,3,1,1,0,19.4,2026-05-19 20:30:15
24,1,1,1,0,685,1,0,2,26,8,1323,3,-1,0,3,1,1,0,22.05,2026-05-19 20:30:15
26,7,2,1,0,901,1,0,2,26,8,1181,2,-1,0,3,1,1,0,19.683333333333334,2026-05-19 20:30:15
59,5,2,1,0,351,1,0,2,27,8,63,5,-1,0,3,1,1,0,1.05,2026-05-19 20:30:15
30,2,2,0,0,0,1,1,2,27,8,51,1,-1,0,3,1,1,1,0.85,2026-05-19 20:30:15
37,0,1,1,0,274,1,0,2,27,8,1146,3,-1,0,3,1,1,0,19.1,2026-05-19 20:30:15
30,0,2,1,0,-213,1,1,2,27,8,1168,1,-1,0,3,1,1,1,19.466666666666665,2026-05-19 20:30:15
25,1,1,1,0,97,1,0,2,27,8,1121,1,-1,0,3,1,1,0,18.683333333333334,2026-05-19 20:30:15
44,7,0,1,0,51,1,1,2,27,8,672,2,-1,0,3,1,1,1,11.2,2026-05-19 20:30:15
29,4,1,2,0,314,0,0,2,28,8,1366,2,-1,0,3,1,1,0,22.766666666666666,2026-05-19 20:30:15
26,4,2,2,0,6840,1,0,2,28,8,402,2,-1,0,3,1,1,0,6.7,2026-05-19 20:30:15
26,9,2,1,0,668,1,0,2,28,8,973,3,-1,0,3,1,1,0,16.216666666666665,2026-05-19 20:30:15
27,7,2,1,0,54,1,0,2,28,8,937,2,-1,0,3,1,1,0,15.616666666666667,2026-05-19 20:30:15
25,6,2,1,0,1242,1,0,2,28,8,1017,2,-1,0,3,1,1,0,16.95,2026-05-19 20:30:15
28,4,1,1,0,292,1,0,2,28,8,897,1,-1,0,3,1,1,0,14.95,2026-05-19 20:30:15
23,7,2,1,0,665,1,0,2,28,8,167,1,-1,0,3,1,1,0,2.783333333333333,2026-05-19 20:30:15
34,4,2,2,0,1058,1,0,2,28,8,1289,2,-1,0,3,1,1,0,21.483333333333334,2026-05-19 20:30:15
28,8,2,1,0,949,1,0,2,28,8,463,1,-1,0,3,1,1,0,7.716666666666667,2026-05-19 20:30:15
51,2,1,3,0,606,1,0,2,28,8,956,9,-1,0,3,1,1,0,15.933333333333334,2026-05-19 20:30:15
35,1,1,1,0,0,1,1,2,29,8,937,1,-1,0,3,1,1,1,15.616666666666667,2026-05-19 20:30:15
35,0,1,1,0,404,1,0,2,29,8,932,1,-1,0,3,1,1,0,15.533333333333333,2026-05-19 20:30:15
56,1,1,1,0,249,1,0,2,29,8,1210,2,-1,0,3,1,1,0,20.166666666666668,2026-05-19 20:30:15
45,10,0,1,0,3354,1,0,2,29,8,1162,1,-1,0,3,1,1,0,19.366666666666667,2026-05-19 20:30:15
60,1,0,1,0,0,1,0,2,29,8,187,1,-1,0,3,1,1,0,3.1166666666666667,2026-05-19 20:30:15
56,9,1,1,0,589,1,0,2,29,8,928,2,-1,0,3,1,1,0,15.466666666666667,2026-05-19 20:30:15
27,4,2,2,0,12956,1,0,2,29,8,1207,3,-1,0,3,1,1,0,20.116666666666667,2026-05-19 20:30:15
30,0,1,1,0,873,1,0,2,29,8,1211,3,-1,0,3,1,1,0,20.183333333333334,2026-05-19 20:30:15
45,1,0,0,0,594,1,0,2,29,8,1256,2,-1,0,3,1,1,0,20.933333333333334,2026-05-19 20:30:15
29,1,2,1,0,-20,1,0,2,29,8,1235,2,-1,0,3,1,1,0,20.583333333333332,2026-05-19 20:30:15
38,4,0,2,0,4692,1,0,2,29,8,293,2,-1,0,3,1,1,0,4.883333333333334,2026-05-19 20:30:15
30,1,1,1,0,486,1,0,2,29,8,105,3,-1,0,3,1,1,0,1.75,2026-05-19 20:30:15
44,1,2,0,0,1593,1,0,2,29,8,1250,3,-1,0,3,1,1,0,20.833333333333332,2026-05-19 20:30:15
36,4,2,2,0,7606,1,0,2,30,8,1346,1,-1,0,3,1,1,0,22.433333333333334,2026-05-19 20:30:15
38,9,1,1,0,226,1,0,2,30,8,1179,3,-1,0,3,1,1,0,19.65,2026-05-19 20:30:15
36,1,2,1,0,366,1,1,2,30,8,126,2,-1,0,3,1,1,1,2.1,2026-05-19 20:30:15
37,4,0,1,0,16,1,0,2,30,8,1042,1,-1,0,3,1,1,0,17.366666666666667,2026-05-19 20:30:15
35,4,2,2,0,565,1,0,2,30,8,1180,1,-1,0,3,1,1,0,19.666666666666668,2026-05-19 20:30:15
38,0,0,1,0,19,1,0,2,30,8,1005,2,-1,0,3,1,1,0,16.75,2026-05-19 20:30:15
40,7,1,0,0,1082,1,0,2,30,8,1278,2,-1,0,3,1,1,0,21.3,2026-05-19 20:30:15
42,10,0,1,0,1713,1,0,2,30,8,1279,2,-1,0,3,1,1,0,21.316666666666666,2026-05-19 20:30:15
46,4,0,2,0,14481,1,0,2,30,8,232,1,-1,0,3,1,1,0,3.8666666666666667,2026-05-19 20:30:15
35,9,0,1,0,5724,1,0,2,30,8,1101,10,-1,0,3,1,1,0,18.35,2026-05-19 20:30:15
34,9,0,1,0,1451,1,0,2,30,8,93,15,-1,0,3,1,1,0,1.55,2026-05-19 20:30:15
32,7,1,1,0,-34,1,0,2,30,8,208,2,-1,0,3,1,1,0,3.466666666666667,2026-05-19 20:30:15
50,10,1,1,0,3674,1,0,2,30,8,1313,3,-1,0,3,1,1,0,21.883333333333333,2026-05-19 20:30:15
35,1,1,1,0,698,1,1,2,30,8,278,3,-1,0,3,1,1,1,4.633333333333334,2026-05-19 20:30:15
36,9,2,1,0,4136,1,0,2,30,8,1233,3,-1,0,3,1,1,0,20.55,2026-05-19 20:30:15
53,1,0,0,0,2656,1,0,2,30,8,521,2,-1,0,3,1,1,0,8.683333333333334,2026-05-19 20:30:15
46,4,2,2,0,2904,1,0,2,30,8,1414,2,-1,0,3,1,1,0,23.566666666666666,2026-05-19 20:30:15
26,4,2,2,0,1004,1,0,2,30,8,567,2,-1,0,3,1,1,0,9.45,2026-05-19 20:30:15
45,9,2,1,0,410,1,0,2,30,8,1318,4,-1,0,3,1,1,0,21.966666666666665,2026-05-19 20:30:15
31,10,0,0,0,0,1,0,2,30,8,1161,12,-1,0,3,1,1,0,19.35,2026-05-19 20:30:15
29,4,2,2,0,0,1,0,2,30,8,932,12,-1,0,3,1,1,0,15.533333333333333,2026-05-19 20:30:15
53,2,2,1,0,62,1,0,2,30,8,45,5,-1,0,3,1,1,0,0.75,2026-05-19 20:30:15
27,1,1,0,0,416,1,0,2,30,8,174,2,-1,0,3,1,1,0,2.9,2026-05-19 20:30:15
39,4,1,2,0,2763,1,0,2,2,6,918,2,-1,0,3,1,1,0,15.3,2026-05-19 20:30:15
36,7,1,1,0,2984,1,0,2,2,6,771,1,-1,0,3,1,1,0,12.85,2026-05-19 20:30:15
41,1,1,0,0,143,1,1,2,2,6,1065,2,-1,0,3,1,1,1,17.75,2026-05-19 20:30:15
36,7,1,0,0,0,1,0,2,2,6,37,1,-1,0,3,1,1,0,0.6166666666666667,2026-05-19 20:30:15
32,9,1,1,0,696,1,0,2,2,6,1236,1,-1,0,3,1,1,0,20.6,2026-05-19 20:30:15
35,7,1,1,0,152,1,0,2,2,6,959,1,-1,0,3,1,1,0,15.983333333333333,2026-05-19 20:30:15
36,4,2,2,0,-78,1,0,2,2,6,65,1,-1,0,3,1,1,0,1.0833333333333333,2026-05-19 20:30:15
35,4,1,2,0,867,1,0,2,2,6,570,3,-1,0,3,1,1,0,9.5,2026-05-19 20:30:15
30,1,2,1,0,953,1,0,2,2,6,1163,2,-1,0,3,1,1,0,19.383333333333333,2026-05-19 20:30:15
42,1,1,1,0,443,1,0,2,2,6,1079,5,-1,0,3,1,1,0,17.983333333333334,2026-05-19 20:30:15
42,9,2,1,1,-1129,1,0,2,2,6,950,5,-1,0,3,1,1,0,15.833333333333334,2026-05-19 20:30:15
32,1,1,0,0,415,1,0,2,2,6,1195,4,-1,0,3,1,1,0,19.916666666666668,2026-05-19 20:30:15
29,1,2,1,0,260,1,0,2,2,6,1119,14,-1,0,3,1,1,0,18.65,2026-05-19 20:30:15
44,4,0,2,1,-411,1,0,2,2,6,814,4,-1,0,3,1,1,0,13.566666666666666,2026-05-19 20:30:15
32,9,2,1,0,1279,1,0,2,3,6,158,3,-1,0,3,1,1,0,2.6333333333333333,2026-05-19 20:30:15
31,10,1,1,0,86,1,1,2,3,6,1393,2,-1,0,3,1,1,1,23.216666666666665,2026-05-19 20:30:15
40,6,1,1,1,-754,1,1,2,3,6,1370,3,-1,0,3,1,1,1,22.833333333333332,2026-05-19 20:30:15
43,2,1,1,0,0,0,0,2,3,6,26,7,-1,0,3,1,1,0,0.43333333333333335,2026-05-19 20:30:15
27,4,2,1,0,178,1,0,2,3,6,1147,2,-1,0,3,1,1,0,19.116666666666667,2026-05-19 20:30:15
37,7,2,1,0,278,1,0,2,3,6,46,3,-1,0,3,1,1,0,0.7666666666666667,2026-05-19 20:30:15
23,7,2,1,0,425,1,0,2,3,6,1185,1,-1,0,3,1,1,0,19.75,2026-05-19 20:30:15
25,4,1,0,0,168,1,0,2,3,6,1222,1,-1,0,3,1,1,0,20.366666666666667,2026-05-19 20:30:15
26,1,2,1,1,-36,1,0,2,3,6,869,2,-1,0,3,1,1,0,14.483333333333333,2026-05-19 20:30:15
47,1,0,0,0,126,1,0,2,3,6,592,2,-1,0,3,1,1,0,9.866666666666667,2026-05-19 20:30:15
35,0,1,1,0,-87,1,0,2,3,6,293,7,-1,0,3,1,1,0,4.883333333333334,2026-05-19 20:30:15
32,9,2,2,0,6281,1,0,2,3,6,273,4,-1,0,3,1,1,0,4.55,2026-05-19 20:30:15
45,4,0,1,0,644,1,0,2,4,6,1037,1,-1,0,3,1,1,0,17.283333333333335,2026-05-19 20:30:15
30,0,0,1,0,377,1,0,2,4,6,916,15,-1,0,3,1,1,0,15.266666666666667,2026-05-19 20:30:15
29,7,2,1,0,-271,1,0,2,4,6,975,1,-1,0,3,1,1,0,16.25,2026-05-19 20:30:15
38,1,1,0,0,5839,1,0,2,4,6,1414,2,-1,0,3,1,1,0,23.566666666666666,2026-05-19 20:30:15
23,1,2,1,0,492,1,0,2,4,6,1042,1,-1,0,3,1,1,0,17.366666666666667,2026-05-19 20:30:15
